ticket_id,customer_id,technician_id,node_id,priority,status,issue_type,date_created,date_resolved
TICK00092,CUST0062,TECH0003,NODE0131,Critical,Closed,Hardware Failure,2024-02-12 00:00:00,2024-02-18 00:00:00
TICK00093,CUST0034,TECH0182,NODE0019,Low,Resolved,Service Outage,2023-10-15 00:00:00,2023-10-29 00:00:00
TICK00094,CUST0008,TECH0188,NODE0047,Medium,Resolved,Configuration,2024-02-02 00:00:00,2024-02-09 00:00:00
TICK00095,CUST0114,TECH0120,NODE0157,High,Open,Billing,2023-10-19 00:00:00,
TICK00096,CUST0193,TECH0138,NODE0005,Critical,Open,Connectivity,2024-02-08 00:00:00,
TICK00097,CUST0042,TECH0124,NODE0011,Low,In Progress,Hardware Failure,2024-02-13 00:00:00,
TICK00098,CUST0092,TECH0184,NODE0162,Medium,Resolved,Service Outage,2024-02-25 00:00:00,2024-03-06 00:00:00
TICK00099,CUST0127,TECH0065,NODE0161,High,Resolved,Configuration,2024-01-07 00:00:00,2024-01-26 00:00:00
TICK00100,CUST0181,TECH0194,NODE0069,Critical,In Progress,Billing,2024-02-06 00:00:00,
TICK00101,CUST0114,TECH0015,NODE0130,Low,Open,Connectivity,2024-03-06 00:00:00,
TICK00102,CUST0058,TECH0176,NODE0137,Medium,Open,Hardware Failure,2024-01-14 00:00:00,
TICK00103,CUST0189,TECH0073,NODE0112,High,Resolved,Service Outage,2023-12-12 00:00:00,2023-12-18 00:00:00
TICK00104,CUST0098,TECH0176,NODE0114,Critical,Resolved,Configuration,2024-03-02 00:00:00,2024-03-14 00:00:00
TICK00105,CUST0112,TECH0158,NODE0017,Low,In Progress,Billing,2023-12-30 00:00:00,
TICK00106,CUST0162,TECH0037,NODE0126,Medium,In Progress,Connectivity,2024-03-27 00:00:00,
TICK00107,CUST0044,TECH0062,NODE0012,High,Closed,Hardware Failure,2023-10-04 00:00:00,2023-11-03 00:00:00
TICK00108,CUST0025,TECH0066,NODE0192,Critical,Resolved,Service Outage,2024-01-24 00:00:00,2024-01-29 00:00:00
TICK00109,CUST0090,TECH0196,NODE0028,Low,Closed,Configuration,2023-12-01 00:00:00,2023-12-17 00:00:00
TICK00110,CUST0072,TECH0200,NODE0140,Medium,Resolved,Billing,2023-10-02 00:00:00,2023-10-19 00:00:00
TICK00111,CUST0100,TECH0097,NODE0187,High,In Progress,Connectivity,2024-01-22 00:00:00,
TICK00112,CUST0106,TECH0166,NODE0174,Critical,Open,Hardware Failure,2024-01-10 00:00:00,
TICK00113,CUST0047,TECH0073,NODE0197,Low,Resolved,Service Outage,2024-03-05 00:00:00,2024-03-11 00:00:00
TICK00114,CUST0041,TECH0121,NODE0039,Medium,Closed,Configuration,2024-01-09 00:00:00,2024-02-07 00:00:00
TICK00115,CUST0111,TECH0008,NODE0119,High,Resolved,Billing,2024-01-29 00:00:00,2024-02-14 00:00:00
TICK00116,CUST0197,TECH0162,NODE0113,Critical,Closed,Connectivity,2024-03-27 00:00:00,2024-03-28 00:00:00
TICK00117,CUST0130,TECH0138,NODE0004,Low,Closed,Hardware Failure,2023-10-25 00:00:00,2023-11-22 00:00:00
TICK00118,CUST0067,TECH0120,NODE0095,Medium,In Progress,Service Outage,2023-10-29 00:00:00,
TICK00119,CUST0023,TECH0066,NODE0087,High,Open,Configuration,2024-01-18 00:00:00,
TICK00120,CUST0194,TECH0066,NODE0012,Critical,Closed,Billing,2023-11-28 00:00:00,2023-12-22 00:00:00
TICK00121,CUST0174,TECH0066,NODE0034,Low,Closed,Connectivity,2024-02-11 00:00:00,2024-03-09 00:00:00
TICK00122,CUST0092,TECH0197,NODE0045,Medium,In Progress,Hardware Failure,2024-01-08 00:00:00,
TICK00123,CUST0058,TECH0008,NODE0046,High,Resolved,Service Outage,2024-01-10 00:00:00,2024-01-23 00:00:00
TICK00124,CUST0200,TECH0003,NODE0118,Critical,Open,Configuration,2024-01-08 00:00:00,
TICK00125,CUST0036,TECH0145,NODE0044,Low,Open,Billing,2024-02-17 00:00:00,
TICK00126,CUST0073,TECH0172,NODE0015,Medium,Resolved,Connectivity,2023-10-24 00:00:00,2023-11-11 00:00:00
TICK00127,CUST0193,TECH0027,NODE0167,High,In Progress,Hardware Failure,2024-03-22 00:00:00,
TICK00128,CUST0098,TECH0058,NODE0120,Critical,Open,Service Outage,2023-10-08 00:00:00,
TICK00129,CUST0168,TECH0131,NODE0126,Low,Resolved,Configuration,2024-03-27 00:00:00,2024-03-31 00:00:00
TICK00130,CUST0168,TECH0132,NODE0027,Medium,In Progress,Billing,2024-03-24 00:00:00,
TICK00131,CUST0001,TECH0001,NODE0171,High,Resolved,Connectivity,2023-10-04 00:00:00,2023-10-09 00:00:00
TICK00132,CUST0052,TECH0112,NODE0137,Critical,In Progress,Hardware Failure,2023-11-23 00:00:00,
TICK00133,CUST0180,TECH0160,NODE0137,Low,Closed,Service Outage,2024-01-24 00:00:00,2024-01-30 00:00:00
TICK00134,CUST0043,TECH0194,NODE0139,Medium,Open,Configuration,2023-11-06 00:00:00,
TICK00135,CUST0027,TECH0078,NODE0070,High,Closed,Billing,2023-10-14 00:00:00,2023-10-31 00:00:00
TICK00136,CUST0004,TECH0127,NODE0090,Critical,Open,Connectivity,2023-12-24 00:00:00,
TICK00137,CUST0015,TECH0128,NODE0139,Low,In Progress,Hardware Failure,2023-10-27 00:00:00,
TICK00138,CUST0008,TECH0189,NODE0195,Medium,Closed,Service Outage,2024-03-06 00:00:00,2024-03-17 00:00:00
TICK00139,CUST0164,TECH0157,NODE0127,High,In Progress,Configuration,2023-11-06 00:00:00,
TICK00140,CUST0048,TECH0064,NODE0053,Critical,In Progress,Billing,2024-01-09 00:00:00,
TICK00141,CUST0032,TECH0142,NODE0043,Low,Open,Connectivity,2023-11-16 00:00:00,
TICK00142,CUST0098,TECH0178,NODE0008,Medium,Closed,Hardware Failure,2023-10-20 00:00:00,2023-11-10 00:00:00
TICK00143,CUST0126,TECH0081,NODE0009,High,Resolved,Service Outage,2024-03-03 00:00:00,2024-03-23 00:00:00
TICK00144,CUST0117,TECH0146,NODE0068,Critical,In Progress,Configuration,2023-12-18 00:00:00,
TICK00145,CUST0075,TECH0175,NODE0063,Low,Open,Billing,2024-01-15 00:00:00,
TICK00146,CUST0194,TECH0116,NODE0111,Medium,In Progress,Connectivity,2024-02-12 00:00:00,
TICK00147,CUST0149,TECH0060,NODE0138,High,In Progress,Hardware Failure,2023-10-16 00:00:00,
TICK00148,CUST0074,TECH0140,NODE0074,Critical,Closed,Service Outage,2023-10-13 00:00:00,2023-10-26 00:00:00
TICK00149,CUST0183,TECH0127,NODE0018,Low,In Progress,Configuration,2024-03-10 00:00:00,
TICK00150,CUST0148,TECH0172,NODE0018,Medium,In Progress,Billing,2023-12-06 00:00:00,
TICK00151,CUST0100,TECH0081,NODE0120,High,Open,Connectivity,2024-01-06 00:00:00,
TICK00152,CUST0031,TECH0042,NODE0095,Critical,Resolved,Hardware Failure,2023-11-12 00:00:00,2023-11-27 00:00:00
TICK00153,CUST0010,TECH0056,NODE0051,Low,Resolved,Service Outage,2024-03-24 00:00:00,2024-03-31 00:00:00
TICK00154,CUST0079,TECH0101,NODE0046,Medium,Resolved,Configuration,2023-10-07 00:00:00,2023-10-22 00:00:00
TICK00155,CUST0057,TECH0175,NODE0001,High,Resolved,Billing,2024-03-23 00:00:00,2024-03-31 00:00:00
TICK00156,CUST0047,TECH0114,NODE0066,Critical,Resolved,Connectivity,2024-03-25 00:00:00,2024-03-31 00:00:00
TICK00157,CUST0034,TECH0139,NODE0103,Low,In Progress,Hardware Failure,2024-02-29 00:00:00,
TICK00158,CUST0137,TECH0002,NODE0053,Medium,In Progress,Service Outage,2023-11-28 00:00:00,
TICK00159,CUST0077,TECH0038,NODE0085,High,In Progress,Configuration,2024-03-13 00:00:00,
TICK00160,CUST0180,TECH0133,NODE0130,Critical,Resolved,Billing,2024-03-17 00:00:00,2024-03-18 00:00:00
TICK00161,CUST0164,TECH0141,NODE0013,Low,Open,Connectivity,2023-12-12 00:00:00,
TICK00162,CUST0044,TECH0183,NODE0053,Medium,In Progress,Hardware Failure,2024-02-27 00:00:00,
TICK00163,CUST0038,TECH0160,NODE0101,High,Resolved,Service Outage,2024-03-07 00:00:00,2024-03-19 00:00:00
TICK00164,CUST0037,TECH0007,NODE0134,Critical,In Progress,Configuration,2024-02-27 00:00:00,
TICK00165,CUST0131,TECH0051,NODE0020,Low,Closed,Billing,2024-03-25 00:00:00,2024-03-31 00:00:00
TICK00166,CUST0030,TECH0020,NODE0068,Medium,Resolved,Connectivity,2024-02-05 00:00:00,2024-02-23 00:00:00
TICK00167,CUST0073,TECH0069,NODE0053,High,Closed,Hardware Failure,2024-01-17 00:00:00,2024-02-14 00:00:00
TICK00168,CUST0021,TECH0115,NODE0001,Critical,In Progress,Service Outage,2023-10-15 00:00:00,
TICK00169,CUST0039,TECH0171,NODE0090,Low,Resolved,Configuration,2024-03-09 00:00:00,2024-03-27 00:00:00
TICK00170,CUST0123,TECH0016,NODE0123,Medium,Open,Billing,2024-01-25 00:00:00,
TICK00171,CUST0026,TECH0149,NODE0152,High,Resolved,Connectivity,2024-01-24 00:00:00,2024-01-26 00:00:00
TICK00172,CUST0021,TECH0157,NODE0057,Critical,Resolved,Hardware Failure,2023-11-12 00:00:00,2023-12-09 00:00:00
TICK00173,CUST0105,TECH0159,NODE0143,Low,Resolved,Service Outage,2024-03-29 00:00:00,2024-03-31 00:00:00
TICK00174,CUST0194,TECH0108,NODE0121,Medium,Resolved,Configuration,2023-12-10 00:00:00,2023-12-18 00:00:00
TICK00175,CUST0039,TECH0142,NODE0085,High,Resolved,Billing,2023-12-24 00:00:00,2024-01-17 00:00:00
TICK00176,CUST0177,TECH0119,NODE0028,Critical,In Progress,Connectivity,2023-10-04 00:00:00,
TICK00177,CUST0075,TECH0155,NODE0034,Low,In Progress,Hardware Failure,2024-03-15 00:00:00,
TICK00178,CUST0078,TECH0125,NODE0156,Medium,Resolved,Service Outage,2023-10-17 00:00:00,2023-10-20 00:00:00
TICK00179,CUST0129,TECH0049,NODE0055,High,Closed,Configuration,2023-11-14 00:00:00,2023-12-02 00:00:00
TICK00180,CUST0119,TECH0126,NODE0139,Critical,Closed,Billing,2023-10-19 00:00:00,2023-11-10 00:00:00
TICK00181,CUST0098,TECH0102,NODE0042,Low,In Progress,Connectivity,2024-03-03 00:00:00,
TICK00182,CUST0189,TECH0156,NODE0039,Medium,Open,Hardware Failure,2023-11-02 00:00:00,
TICK00183,CUST0170,TECH0074,NODE0059,High,Closed,Service Outage,2024-03-18 00:00:00,2024-03-21 00:00:00
TICK00184,CUST0073,TECH0190,NODE0088,Critical,Resolved,Configuration,2024-03-10 00:00:00,2024-03-15 00:00:00
TICK00185,CUST0083,TECH0135,NODE0081,Low,Closed,Billing,2023-10-25 00:00:00,2023-11-24 00:00:00
TICK00186,CUST0033,TECH0185,NODE0122,Medium,In Progress,Connectivity,2024-01-15 00:00:00,
TICK00187,CUST0083,TECH0100,NODE0181,High,Open,Hardware Failure,2023-11-08 00:00:00,
TICK00188,CUST0063,TECH0024,NODE0095,Critical,Closed,Service Outage,2024-02-05 00:00:00,2024-03-03 00:00:00
TICK00189,CUST0083,TECH0130,NODE0018,Low,Closed,Configuration,2024-02-08 00:00:00,2024-02-27 00:00:00
TICK00190,CUST0141,TECH0018,NODE0137,Medium,In Progress,Billing,2024-03-20 00:00:00,
TICK00191,CUST0189,TECH0099,NODE0059,High,Resolved,Connectivity,2023-11-03 00:00:00,2023-11-13 00:00:00
TICK00192,CUST0159,TECH0039,NODE0143,Critical,In Progress,Hardware Failure,2024-01-04 00:00:00,
TICK00193,CUST0075,TECH0155,NODE0039,Low,Open,Service Outage,2024-03-08 00:00:00,
TICK00194,CUST0036,TECH0167,NODE0059,Medium,Open,Configuration,2023-11-28 00:00:00,
TICK00195,CUST0166,TECH0081,NODE0027,High,Closed,Billing,2024-01-24 00:00:00,2024-02-02 00:00:00
TICK00196,CUST0188,TECH0048,NODE0172,Critical,Resolved,Connectivity,2024-01-03 00:00:00,2024-01-26 00:00:00
TICK00197,CUST0126,TECH0076,NODE0141,Low,In Progress,Hardware Failure,2024-01-14 00:00:00,
TICK00198,CUST0097,TECH0129,NODE0060,Medium,In Progress,Service Outage,2023-12-17 00:00:00,
TICK00199,CUST0121,TECH0172,NODE0130,High,Open,Configuration,2023-12-15 00:00:00,
TICK00200,CUST0115,TECH0056,NODE0039,Critical,Closed,Billing,2023-11-13 00:00:00,2023-11-17 00:00:00
TICK00201,CUST0097,TECH0012,NODE0105,Low,Open,Connectivity,2023-11-06 00:00:00,
TICK00202,CUST0053,TECH0191,NODE0178,Medium,In Progress,Hardware Failure,2023-10-28 00:00:00,
TICK00203,CUST0060,TECH0155,NODE0044,High,Resolved,Service Outage,2023-12-25 00:00:00,2023-12-27 00:00:00
TICK00204,CUST0051,TECH0170,NODE0011,Critical,In Progress,Configuration,2024-01-17 00:00:00,
TICK00205,CUST0023,TECH0002,NODE0122,Low,In Progress,Billing,2024-01-11 00:00:00,
TICK00206,CUST0008,TECH0126,NODE0116,Medium,In Progress,Connectivity,2024-01-24 00:00:00,
TICK00207,CUST0084,TECH0138,NODE0070,High,In Progress,Hardware Failure,2024-02-06 00:00:00,
TICK00208,CUST0154,TECH0120,NODE0179,Critical,Closed,Service Outage,2023-10-31 00:00:00,2023-11-05 00:00:00
TICK00209,CUST0137,TECH0017,NODE0146,Low,Open,Configuration,2024-02-24 00:00:00,
TICK00210,CUST0188,TECH0075,NODE0057,Medium,In Progress,Billing,2023-11-22 00:00:00,
TICK00211,CUST0141,TECH0173,NODE0083,High,Resolved,Connectivity,2024-01-05 00:00:00,2024-01-27 00:00:00
TICK00212,CUST0145,TECH0127,NODE0063,Critical,Resolved,Hardware Failure,2024-03-21 00:00:00,2024-03-30 00:00:00
TICK00213,CUST0054,TECH0031,NODE0198,Low,Closed,Service Outage,2023-11-09 00:00:00,2023-11-24 00:00:00
TICK00214,CUST0116,TECH0065,NODE0003,Medium,Open,Configuration,2023-12-27 00:00:00,
TICK00215,CUST0006,TECH0070,NODE0188,High,Resolved,Billing,2024-03-21 00:00:00,2024-03-31 00:00:00
TICK00216,CUST0093,TECH0137,NODE0187,Critical,In Progress,Connectivity,2024-02-02 00:00:00,
TICK00217,CUST0160,TECH0041,NODE0101,Low,Open,Hardware Failure,2023-10-09 00:00:00,
TICK00218,CUST0174,TECH0007,NODE0107,Medium,Open,Service Outage,2024-01-27 00:00:00,
TICK00219,CUST0113,TECH0109,NODE0022,High,In Progress,Configuration,2024-03-04 00:00:00,
TICK00220,CUST0044,TECH0108,NODE0104,Critical,Closed,Billing,2023-10-03 00:00:00,2023-10-16 00:00:00
TICK00221,CUST0153,TECH0120,NODE0149,Low,In Progress,Connectivity,2023-11-06 00:00:00,
TICK00222,CUST0148,TECH0181,NODE0112,Medium,In Progress,Hardware Failure,2024-02-11 00:00:00,
TICK00223,CUST0066,TECH0001,NODE0025,High,Closed,Service Outage,2023-10-14 00:00:00,2023-11-06 00:00:00
TICK00224,CUST0122,TECH0191,NODE0123,Critical,In Progress,Configuration,2024-02-26 00:00:00,
TICK00225,CUST0062,TECH0055,NODE0176,Low,In Progress,Billing,2023-11-30 00:00:00,
TICK00226,CUST0105,TECH0168,NODE0177,Medium,Resolved,Connectivity,2023-12-23 00:00:00,2024-01-01 00:00:00
TICK00227,CUST0078,TECH0100,NODE0046,High,In Progress,Hardware Failure,2023-12-16 00:00:00,
TICK00228,CUST0124,TECH0097,NODE0163,Critical,In Progress,Service Outage,2023-12-11 00:00:00,
TICK00229,CUST0014,TECH0123,NODE0012,Low,Open,Configuration,2023-10-19 00:00:00,
TICK00230,CUST0014,TECH0193,NODE0100,Medium,In Progress,Billing,2024-01-27 00:00:00,
TICK00231,CUST0039,TECH0091,NODE0128,High,Open,Connectivity,2023-12-31 00:00:00,
TICK00232,CUST0061,TECH0014,NODE0006,Critical,In Progress,Hardware Failure,2023-11-15 00:00:00,
TICK00233,CUST0135,TECH0011,NODE0149,Low,Open,Service Outage,2023-12-09 00:00:00,
TICK00234,CUST0123,TECH0127,NODE0182,Medium,In Progress,Configuration,2024-01-05 00:00:00,
TICK00235,CUST0075,TECH0011,NODE0169,High,Open,Billing,2024-01-01 00:00:00,
TICK00236,CUST0015,TECH0132,NODE0129,Critical,Open,Connectivity,2023-11-16 00:00:00,
TICK00237,CUST0015,TECH0035,NODE0111,Low,Closed,Hardware Failure,2024-01-28 00:00:00,2024-02-07 00:00:00
TICK00238,CUST0140,TECH0172,NODE0012,Medium,Open,Service Outage,2024-01-27 00:00:00,
TICK00239,CUST0188,TECH0060,NODE0163,High,In Progress,Configuration,2023-12-06 00:00:00,
TICK00240,CUST0015,TECH0037,NODE0129,Critical,In Progress,Billing,2023-11-26 00:00:00,
TICK00241,CUST0109,TECH0121,NODE0177,Low,Closed,Connectivity,2023-12-19 00:00:00,2024-01-08 00:00:00
TICK00242,CUST0112,TECH0152,NODE0013,Medium,Resolved,Hardware Failure,2023-11-05 00:00:00,2023-11-24 00:00:00
TICK00243,CUST0041,TECH0017,NODE0173,High,Resolved,Service Outage,2023-12-12 00:00:00,2024-01-11 00:00:00
TICK00244,CUST0127,TECH0062,NODE0166,Critical,In Progress,Configuration,2023-10-19 00:00:00,
