work_order_id,ticket_id,technician_id,type,status,date_created,date_completed,duration_hours
WO00098,TICK00551,TECH0003,Emergency Repair,In Progress,2024-03-13 00:00:00,2024-03-15 00:00:00,2
WO00099,TICK00169,TECH0142,Installation,Completed,2023-10-05 00:00:00,2023-10-10 00:00:00,3
WO00100,TICK00410,TECH0084,Inspection,Pending,2024-02-17 00:00:00,2024-02-22 00:00:00,3
WO00101,TICK00883,TECH0124,Routine Maintenance,In Progress,2023-10-26 00:00:00,2023-10-28 00:00:00,8
WO00102,TICK00157,TECH0101,Emergency Repair,Completed,2024-03-21 00:00:00,2024-03-26 00:00:00,3
WO00103,TICK00162,TECH0010,Installation,Pending,2024-03-19 00:00:00,2024-03-22 00:00:00,7
WO00104,TICK00634,TECH0055,Inspection,In Progress,2024-01-25 00:00:00,,2
WO00105,TICK00133,TECH0011,Routine Maintenance,Completed,2024-01-10 00:00:00,2024-01-11 00:00:00,2
WO00106,TICK00836,TECH0163,Emergency Repair,Pending,2023-11-11 00:00:00,,5
WO00107,TICK00811,TECH0106,Installation,In Progress,2024-03-28 00:00:00,2024-03-28 00:00:00,5
WO00108,TICK00249,TECH0009,Inspection,Completed,2023-12-28 00:00:00,2023-12-29 00:00:00,3
WO00109,TICK00928,TECH0041,Routine Maintenance,Pending,2023-11-13 00:00:00,2023-11-15 00:00:00,5
WO00110,TICK00023,TECH0131,Emergency Repair,In Progress,2023-11-20 00:00:00,2023-11-24 00:00:00,7
WO00111,TICK00100,TECH0189,Installation,Completed,2023-11-12 00:00:00,2023-11-16 00:00:00,5
WO00112,TICK00665,TECH0087,Inspection,Pending,2023-12-25 00:00:00,2023-12-26 00:00:00,8
WO00113,TICK00796,TECH0167,Routine Maintenance,In Progress,2023-10-03 00:00:00,2023-10-06 00:00:00,8
WO00114,TICK00048,TECH0085,Emergency Repair,Completed,2023-11-06 00:00:00,2023-11-06 00:00:00,3
WO00115,TICK00684,TECH0169,Installation,Pending,2023-12-18 00:00:00,2023-12-23 00:00:00,8
WO00116,TICK00196,TECH0008,Inspection,In Progress,2023-10-08 00:00:00,2023-10-09 00:00:00,1
WO00117,TICK00829,TECH0147,Routine Maintenance,Completed,2024-03-18 00:00:00,2024-03-22 00:00:00,1
WO00118,TICK00056,TECH0137,Emergency Repair,Pending,2023-12-10 00:00:00,2023-12-13 00:00:00,3
WO00119,TICK00022,TECH0114,Installation,In Progress,2023-12-31 00:00:00,2023-12-31 00:00:00,8
WO00120,TICK00778,TECH0103,Inspection,Completed,2024-03-02 00:00:00,2024-03-03 00:00:00,4
WO00121,TICK00545,TECH0104,Routine Maintenance,Pending,2024-02-15 00:00:00,2024-02-16 00:00:00,4
WO00122,TICK00117,TECH0057,Emergency Repair,In Progress,2024-02-10 00:00:00,2024-02-14 00:00:00,5
WO00123,TICK00186,TECH0041,Installation,Completed,2023-10-27 00:00:00,,1
WO00124,TICK00540,TECH0103,Inspection,Pending,2023-12-04 00:00:00,2023-12-04 00:00:00,3
WO00125,TICK00373,TECH0167,Routine Maintenance,In Progress,2023-10-02 00:00:00,,4
WO00126,TICK00537,TECH0112,Emergency Repair,Completed,2023-12-10 00:00:00,2023-12-12 00:00:00,8
WO00127,TICK00523,TECH0062,Installation,Pending,2024-03-23 00:00:00,2024-03-24 00:00:00,7
WO00128,TICK00372,TECH0130,Inspection,In Progress,2023-10-31 00:00:00,2023-11-03 00:00:00,7
WO00129,TICK00184,TECH0107,Routine Maintenance,Completed,2024-03-23 00:00:00,2024-03-26 00:00:00,4
WO00130,TICK00290,TECH0172,Emergency Repair,Pending,2023-12-16 00:00:00,2023-12-16 00:00:00,5
WO00131,TICK00873,TECH0103,Installation,In Progress,2023-10-12 00:00:00,2023-10-15 00:00:00,6
WO00132,TICK00315,TECH0170,Inspection,Completed,2023-12-25 00:00:00,2023-12-27 00:00:00,4
WO00133,TICK00839,TECH0154,Routine Maintenance,Pending,2024-03-19 00:00:00,2024-03-24 00:00:00,3
WO00134,TICK00274,TECH0184,Emergency Repair,In Progress,2023-10-24 00:00:00,2023-10-25 00:00:00,6
WO00135,TICK00663,TECH0013,Installation,Completed,2023-10-20 00:00:00,2023-10-25 00:00:00,1
WO00136,TICK00855,TECH0077,Inspection,Pending,2023-12-07 00:00:00,2023-12-07 00:00:00,3
WO00137,TICK00777,TECH0024,Routine Maintenance,In Progress,2023-11-10 00:00:00,2023-11-14 00:00:00,7
WO00138,TICK00825,TECH0001,Emergency Repair,Completed,2023-12-18 00:00:00,2023-12-18 00:00:00,7
WO00139,TICK00069,TECH0098,Installation,Pending,2024-02-18 00:00:00,2024-02-18 00:00:00,1
WO00140,TICK00696,TECH0183,Inspection,In Progress,2023-11-11 00:00:00,2023-11-15 00:00:00,4
WO00141,TICK00110,TECH0097,Routine Maintenance,Completed,2024-01-07 00:00:00,2024-01-11 00:00:00,5
WO00142,TICK00474,TECH0158,Emergency Repair,Pending,2023-11-14 00:00:00,2023-11-15 00:00:00,3
WO00143,TICK00574,TECH0090,Installation,In Progress,2024-02-22 00:00:00,2024-02-27 00:00:00,5
WO00144,TICK00115,TECH0013,Inspection,Completed,2023-12-17 00:00:00,2023-12-22 00:00:00,6
WO00145,TICK00486,TECH0128,Routine Maintenance,Pending,2024-02-12 00:00:00,2024-02-17 00:00:00,8
WO00146,TICK00207,TECH0068,Emergency Repair,In Progress,2023-11-29 00:00:00,2023-11-29 00:00:00,1
WO00147,TICK00943,TECH0111,Installation,Completed,2024-03-07 00:00:00,2024-03-07 00:00:00,7
WO00148,TICK00362,TECH0149,Inspection,Pending,2023-12-10 00:00:00,2023-12-14 00:00:00,2
WO00149,TICK00210,TECH0088,Routine Maintenance,In Progress,2024-01-07 00:00:00,2024-01-07 00:00:00,8
WO00150,TICK00530,TECH0174,Emergency Repair,Completed,2023-11-20 00:00:00,2023-11-21 00:00:00,2
WO00151,TICK00502,TECH0049,Installation,Pending,2023-10-22 00:00:00,2023-10-23 00:00:00,7
WO00152,TICK00851,TECH0197,Inspection,In Progress,2024-01-26 00:00:00,2024-01-29 00:00:00,3
WO00153,TICK00916,TECH0114,Routine Maintenance,Completed,2024-01-13 00:00:00,2024-01-16 00:00:00,1
WO00154,TICK00381,TECH0183,Emergency Repair,Pending,2024-01-18 00:00:00,2024-01-20 00:00:00,8
WO00155,TICK00529,TECH0176,Installation,In Progress,2023-11-03 00:00:00,2023-11-06 00:00:00,6
WO00156,TICK00661,TECH0023,Inspection,Completed,2023-12-07 00:00:00,2023-12-07 00:00:00,5
WO00157,TICK00030,TECH0105,Routine Maintenance,Pending,2023-11-08 00:00:00,2023-11-10 00:00:00,2
WO00158,TICK00407,TECH0097,Emergency Repair,In Progress,2024-03-05 00:00:00,2024-03-07 00:00:00,8
WO00159,TICK00118,TECH0107,Installation,Completed,2023-12-19 00:00:00,2023-12-20 00:00:00,8
WO00160,TICK00793,TECH0186,Inspection,Pending,2024-01-21 00:00:00,2024-01-24 00:00:00,4
WO00161,TICK00231,TECH0117,Routine Maintenance,In Progress,2024-02-08 00:00:00,2024-02-10 00:00:00,8
WO00162,TICK00961,TECH0026,Emergency Repair,Completed,2023-11-04 00:00:00,2023-11-08 00:00:00,6
WO00163,TICK00607,TECH0125,Installation,Pending,2024-03-22 00:00:00,2024-03-23 00:00:00,3
WO00164,TICK00119,TECH0097,Inspection,In Progress,2024-02-22 00:00:00,2024-02-27 00:00:00,4
WO00165,TICK00101,TECH0082,Routine Maintenance,Completed,2024-03-27 00:00:00,2024-04-01 00:00:00,3
WO00166,TICK00476,TECH0192,Emergency Repair,Pending,2024-03-29 00:00:00,,3
WO00167,TICK00229,TECH0041,Installation,In Progress,2023-12-02 00:00:00,2023-12-03 00:00:00,4
WO00168,TICK00679,TECH0009,Inspection,Completed,2023-10-06 00:00:00,,6
WO00169,TICK00061,TECH0200,Routine Maintenance,Pending,2024-03-31 00:00:00,,6
WO00170,TICK00286,TECH0018,Emergency Repair,In Progress,2024-01-10 00:00:00,2024-01-10 00:00:00,6
WO00171,TICK00783,TECH0030,Installation,Completed,2024-01-30 00:00:00,2024-01-31 00:00:00,1
WO00172,TICK00581,TECH0179,Inspection,Pending,2023-12-04 00:00:00,2023-12-07 00:00:00,7
WO00173,TICK00930,TECH0175,Routine Maintenance,In Progress,2023-12-08 00:00:00,,5
WO00174,TICK00766,TECH0022,Emergency Repair,Completed,2024-02-08 00:00:00,2024-02-12 00:00:00,6
WO00175,TICK00956,TECH0038,Installation,Pending,2023-10-04 00:00:00,2023-10-08 00:00:00,8
WO00176,TICK00898,TECH0125,Inspection,In Progress,2023-12-01 00:00:00,2023-12-03 00:00:00,4
WO00177,TICK00794,TECH0147,Routine Maintenance,Completed,2023-11-24 00:00:00,2023-11-27 00:00:00,4
WO00178,TICK00287,TECH0192,Emergency Repair,Pending,2024-01-06 00:00:00,2024-01-08 00:00:00,8
WO00179,TICK00296,TECH0163,Installation,In Progress,2023-10-06 00:00:00,2023-10-09 00:00:00,4
WO00180,TICK00297,TECH0180,Inspection,Completed,2024-02-28 00:00:00,2024-02-29 00:00:00,6
WO00181,TICK01000,TECH0136,Routine Maintenance,Pending,2024-01-27 00:00:00,2024-01-30 00:00:00,1
WO00182,TICK00748,TECH0145,Emergency Repair,In Progress,2023-10-20 00:00:00,2023-10-20 00:00:00,1
WO00183,TICK00381,TECH0200,Installation,Completed,2023-10-23 00:00:00,2023-10-23 00:00:00,3
WO00184,TICK00468,TECH0005,Inspection,Pending,2024-01-17 00:00:00,2024-01-20 00:00:00,8
WO00185,TICK00734,TECH0048,Routine Maintenance,In Progress,2024-02-05 00:00:00,,6
WO00186,TICK00598,TECH0181,Emergency Repair,Completed,2024-03-12 00:00:00,2024-03-13 00:00:00,7
WO00187,TICK00579,TECH0198,Installation,Pending,2023-10-28 00:00:00,,1
WO00188,TICK00200,TECH0099,Inspection,In Progress,2023-11-02 00:00:00,2023-11-03 00:00:00,1
WO00189,TICK00382,TECH0190,Routine Maintenance,Completed,2024-03-26 00:00:00,2024-03-26 00:00:00,1
WO00190,TICK00659,TECH0154,Emergency Repair,Pending,2023-10-02 00:00:00,2023-10-05 00:00:00,4
WO00191,TICK00370,TECH0055,Installation,In Progress,2023-11-26 00:00:00,2023-11-26 00:00:00,3
WO00192,TICK00470,TECH0075,Inspection,Completed,2023-10-17 00:00:00,2023-10-17 00:00:00,4
WO00193,TICK00956,TECH0021,Routine Maintenance,Pending,2024-03-02 00:00:00,2024-03-04 00:00:00,3
WO00194,TICK00885,TECH0020,Emergency Repair,In Progress,2023-10-29 00:00:00,2023-10-31 00:00:00,4
WO00195,TICK00755,TECH0160,Installation,Completed,2024-01-17 00:00:00,2024-01-20 00:00:00,4
WO00196,TICK00562,TECH0137,Inspection,Pending,2023-11-30 00:00:00,2023-12-01 00:00:00,2
WO00197,TICK00411,TECH0006,Routine Maintenance,In Progress,2024-02-21 00:00:00,2024-02-25 00:00:00,1
WO00198,TICK00303,TECH0164,Emergency Repair,Completed,2023-11-17 00:00:00,2023-11-20 00:00:00,2
WO00199,TICK00249,TECH0089,Installation,Pending,2023-12-15 00:00:00,2023-12-20 00:00:00,2
WO00200,TICK00880,TECH0075,Inspection,In Progress,2024-01-06 00:00:00,2024-01-07 00:00:00,1
WO00201,TICK00633,TECH0159,Routine Maintenance,Completed,2023-10-24 00:00:00,2023-10-25 00:00:00,8
WO00202,TICK00841,TECH0033,Emergency Repair,Pending,2023-10-29 00:00:00,2023-10-31 00:00:00,6
WO00203,TICK00145,TECH0063,Installation,In Progress,2024-02-21 00:00:00,2024-02-23 00:00:00,7
WO00204,TICK00638,TECH0082,Inspection,Completed,2024-01-11 00:00:00,,2
WO00205,TICK00593,TECH0059,Routine Maintenance,Pending,2023-12-04 00:00:00,2023-12-08 00:00:00,8
WO00206,TICK00057,TECH0098,Emergency Repair,In Progress,2024-02-16 00:00:00,2024-02-16 00:00:00,6
WO00207,TICK00344,TECH0161,Installation,Completed,2023-10-28 00:00:00,2023-11-01 00:00:00,3
WO00208,TICK00069,TECH0105,Inspection,Pending,2023-12-11 00:00:00,2023-12-14 00:00:00,8
WO00209,TICK00704,TECH0108,Routine Maintenance,In Progress,2024-02-15 00:00:00,2024-02-15 00:00:00,7
WO00210,TICK00428,TECH0114,Emergency Repair,Completed,2023-10-01 00:00:00,2023-10-06 00:00:00,7
WO00211,TICK00495,TECH0110,Installation,Pending,2024-03-01 00:00:00,2024-03-01 00:00:00,4
WO00212,TICK00820,TECH0171,Inspection,In Progress,2023-11-23 00:00:00,2023-11-28 00:00:00,5
WO00213,TICK00016,TECH0088,Routine Maintenance,Completed,2024-03-01 00:00:00,2024-03-03 00:00:00,4
WO00214,TICK00039,TECH0138,Emergency Repair,Pending,2024-01-01 00:00:00,2024-01-01 00:00:00,2
WO00215,TICK00367,TECH0014,Installation,In Progress,2023-10-12 00:00:00,,4
WO00216,TICK00670,TECH0027,Inspection,Completed,2023-12-22 00:00:00,2023-12-23 00:00:00,6
WO00217,TICK00344,TECH0190,Routine Maintenance,Pending,2023-10-22 00:00:00,,7
WO00218,TICK00711,TECH0163,Emergency Repair,In Progress,2024-02-19 00:00:00,2024-02-24 00:00:00,4
WO00219,TICK00971,TECH0010,Installation,Completed,2023-10-29 00:00:00,2023-11-03 00:00:00,4
WO00220,TICK00079,TECH0135,Inspection,Pending,2024-01-28 00:00:00,2024-02-01 00:00:00,1
WO00221,TICK00756,TECH0146,Routine Maintenance,In Progress,2024-02-08 00:00:00,2024-02-13 00:00:00,6
WO00222,TICK00385,TECH0088,Emergency Repair,Completed,2024-02-05 00:00:00,,2
WO00223,TICK00200,TECH0075,Installation,Pending,2023-12-30 00:00:00,2023-12-30 00:00:00,8
WO00224,TICK00100,TECH0161,Inspection,In Progress,2024-01-05 00:00:00,2024-01-10 00:00:00,4
WO00225,TICK00298,TECH0055,Routine Maintenance,Completed,2024-02-14 00:00:00,2024-02-14 00:00:00,1
WO00226,TICK00486,TECH0056,Emergency Repair,Pending,2024-03-18 00:00:00,2024-03-23 00:00:00,6
WO00227,TICK00579,TECH0177,Installation,In Progress,2024-01-09 00:00:00,2024-01-09 00:00:00,5
WO00228,TICK00998,TECH0001,Inspection,Completed,2024-03-25 00:00:00,2024-03-28 00:00:00,1
WO00229,TICK00605,TECH0147,Routine Maintenance,Pending,2023-11-24 00:00:00,2023-11-29 00:00:00,8
WO00230,TICK00932,TECH0086,Emergency Repair,In Progress,2023-12-06 00:00:00,2023-12-06 00:00:00,6
WO00231,TICK00748,TECH0015,Installation,Completed,2024-02-11 00:00:00,2024-02-11 00:00:00,7
WO00232,TICK00414,TECH0060,Inspection,Pending,2023-12-16 00:00:00,2023-12-21 00:00:00,3
WO00233,TICK00337,TECH0073,Routine Maintenance,In Progress,2023-12-09 00:00:00,2023-12-11 00:00:00,6
WO00234,TICK00930,TECH0045,Emergency Repair,Completed,2023-12-16 00:00:00,2023-12-21 00:00:00,2
WO00235,TICK00007,TECH0178,Installation,Pending,2024-02-02 00:00:00,2024-02-03 00:00:00,3
WO00236,TICK00012,TECH0002,Inspection,In Progress,2023-10-26 00:00:00,2023-10-26 00:00:00,4
WO00237,TICK00968,TECH0022,Routine Maintenance,Completed,2023-10-25 00:00:00,2023-10-30 00:00:00,5
WO00238,TICK00668,TECH0089,Emergency Repair,Pending,2024-02-15 00:00:00,,8
WO00239,TICK00694,TECH0166,Installation,In Progress,2024-03-11 00:00:00,2024-03-14 00:00:00,7
WO00240,TICK00899,TECH0132,Inspection,Completed,2024-01-02 00:00:00,2024-01-02 00:00:00,8
WO00241,TICK00407,TECH0014,Routine Maintenance,Pending,2024-02-26 00:00:00,2024-02-28 00:00:00,6
WO00242,TICK00844,TECH0096,Emergency Repair,In Progress,2024-02-21 00:00:00,2024-02-25 00:00:00,2
WO00243,TICK00036,TECH0082,Installation,Completed,2023-10-06 00:00:00,2023-10-09 00:00:00,8
WO00244,TICK00911,TECH0107,Inspection,Pending,2024-03-14 00:00:00,2024-03-16 00:00:00,7
WO00245,TICK00062,TECH0065,Routine Maintenance,In Progress,2024-03-05 00:00:00,,1
WO00246,TICK00779,TECH0119,Emergency Repair,Completed,2024-03-17 00:00:00,2024-03-20 00:00:00,5
WO00247,TICK00886,TECH0144,Installation,Pending,2023-10-04 00:00:00,2023-10-09 00:00:00,4
WO00248,TICK00248,TECH0153,Inspection,In Progress,2024-03-16 00:00:00,2024-03-20 00:00:00,8
WO00249,TICK00993,TECH0132,Routine Maintenance,Completed,2023-10-17 00:00:00,2023-10-21 00:00:00,7
WO00250,TICK00764,TECH0034,Emergency Repair,Pending,2023-10-11 00:00:00,2023-10-13 00:00:00,8
WO00251,TICK00813,TECH0118,Installation,In Progress,2024-01-05 00:00:00,2024-01-05 00:00:00,1
WO00252,TICK00772,TECH0057,Inspection,Completed,2023-11-12 00:00:00,2023-11-15 00:00:00,2
WO00253,TICK00487,TECH0186,Routine Maintenance,Pending,2023-10-12 00:00:00,2023-10-13 00:00:00,2
WO00254,TICK00302,TECH0023,Emergency Repair,In Progress,2023-12-31 00:00:00,2024-01-01 00:00:00,7
WO00255,TICK00760,TECH0028,Installation,Completed,2023-12-16 00:00:00,2023-12-16 00:00:00,6
WO00256,TICK00236,TECH0100,Inspection,Pending,2023-11-19 00:00:00,2023-11-21 00:00:00,1
