CommunicationId,CustomerId,PolicyId,CommunicationType,CommunicationDate,Summary
CHID-024,CID-003,PID-009,SMS,2021-07-29,"Customer sought assistance for canceling their policy, asking about the process."
CHID-025,CID-003,PID-009,SMS,2022-03-08,Customer called to inquire about their most recent bill and payment due dates.
CHID-026,CID-003,PID-009,Phone Call,2021-07-29,Customer complained about a previous claim's handling.
CHID-027,CID-003,PID-009,Phone Call,2021-11-13,The customer wanted to know about discounts for upcoming policy renewal.
CHID-028,CID-003,PID-010,Phone Call,2024-01-27,Customer called to inquire about their most recent bill and payment due dates.
CHID-029,CID-004,PID-011,Phone Call,2023-09-18,Request clarification on a recent claim status.
CHID-030,CID-004,PID-011,Email,2023-03-05,Customer called to inquire about their most recent bill and payment due dates.
CHID-031,CID-005,PID-012,Email,2021-01-15,Request for documents related to the policy was made.
CHID-032,CID-005,PID-012,Phone Call,2020-09-04,Request for documents related to the policy was made.
CHID-033,CID-005,PID-012,SMS,2021-04-20,Request clarification on a recent claim status.
CHID-034,CID-005,PID-013,Email,2022-09-21,Customer called to update their policy information and address changes.
CHID-035,CID-005,PID-013,Email,2023-04-30,Customer called to update their policy information and address changes.
CHID-036,CID-005,PID-013,Phone Call,2022-06-04,Customer called to inquire about their most recent bill and payment due dates.
CHID-037,CID-005,PID-013,Email,2022-11-08,The customer wanted to know about discounts for upcoming policy renewal.
CHID-038,CID-005,PID-014,Email,2024-09-17,"Customer sought assistance for canceling their policy, asking about the process."
CHID-039,CID-005,PID-015,Email,2020-12-14,Customer called to update their policy information and address changes.
CHID-040,CID-005,PID-015,Email,2020-11-08,Customer called to inquire about their most recent bill and payment due dates.
CHID-041,CID-005,PID-015,Phone Call,2020-11-24,Customer called to ask specific questions regarding coverage limits.
CHID-042,CID-006,PID-016,Phone Call,2025-03-02,Request for documents related to the policy was made.
CHID-043,CID-007,PID-017,Email,2024-11-03,Customer called to ask specific questions regarding coverage limits.
CHID-044,CID-007,PID-017,Phone Call,2024-11-10,The customer wanted to know about discounts for upcoming policy renewal.
CHID-045,CID-007,PID-018,SMS,2022-10-04,Customer called to inquire about their most recent bill and payment due dates.
CHID-046,CID-007,PID-019,Email,2023-04-04,"Customer sought assistance for canceling their policy, asking about the process."
CHID-047,CID-007,PID-019,SMS,2023-03-28,Request clarification on a recent claim status.
CHID-048,CID-008,PID-020,SMS,2023-03-07,Customer called to update their policy information and address changes.
CHID-049,CID-008,PID-020,Email,2023-09-09,Customer called to inquire about their most recent bill and payment due dates.
CHID-050,CID-008,PID-020,Email,2023-10-29,The customer wanted to know about discounts for upcoming policy renewal.
CHID-051,CID-008,PID-020,Email,2024-02-07,The customer wanted to know about discounts for upcoming policy renewal.
CHID-052,CID-008,PID-021,Phone Call,2021-12-18,Request clarification on a recent claim status.
CHID-053,CID-008,PID-021,Email,2021-09-15,Request clarification on a recent claim status.
CHID-054,CID-008,PID-021,Phone Call,2021-12-12,Customer complained about a previous claim's handling.
CHID-055,CID-009,PID-022,SMS,2022-05-22,Customer called to update their policy information and address changes.
CHID-056,CID-009,PID-022,Phone Call,2022-04-28,Request clarification on a recent claim status.
CHID-057,CID-010,PID-023,Email,2025-01-17,Customer called to ask specific questions regarding coverage limits.
CHID-058,CID-010,PID-023,Phone Call,2025-07-13,Request clarification on a recent claim status.
CHID-059,CID-011,PID-024,SMS,2025-02-27,Customer complained about a previous claim's handling.
CHID-060,CID-011,PID-025,SMS,2024-05-03,Customer wanted to know about discounts available for bundling policies.
CHID-061,CID-011,PID-025,SMS,2023-12-26,Customer called to update their policy information and address changes.
CHID-062,CID-011,PID-026,Phone Call,2022-03-17,"Customer sought assistance for canceling their policy, asking about the process."
CHID-063,CID-011,PID-026,SMS,2021-10-31,Request for documents related to the policy was made.
CHID-064,CID-011,PID-027,SMS,2022-12-19,Customer wanted to know about discounts available for bundling policies.
CHID-065,CID-011,PID-027,Email,2022-10-15,Customer called to update their policy information and address changes.
CHID-066,CID-011,PID-027,SMS,2022-05-20,Customer wanted to know about discounts available for bundling policies.
CHID-067,CID-012,PID-028,SMS,2025-05-05,Request for documents related to the policy was made.
CHID-068,CID-012,PID-028,Email,2024-11-08,Inquired about potential premium increases for the upcoming renewal.
CHID-069,CID-012,PID-028,SMS,2025-01-09,Customer complained about a previous claim's handling.
CHID-070,CID-012,PID-029,SMS,2025-11-12,Customer called to inquire about their most recent bill and payment due dates.
CHID-071,CID-012,PID-030,Phone Call,2020-12-13,The customer wanted to know about discounts for upcoming policy renewal.
CHID-072,CID-012,PID-030,SMS,2020-08-09,Request clarification on a recent claim status.
CHID-073,CID-013,PID-031,Email,2025-11-12,Customer called to ask specific questions regarding coverage limits.
CHID-074,CID-013,PID-032,SMS,2023-12-22,The customer wanted to know about discounts for upcoming policy renewal.
CHID-075,CID-013,PID-033,SMS,2025-11-12,Request clarification on a recent claim status.
CHID-076,CID-013,PID-033,Email,2025-09-30,Customer called to update their policy information and address changes.
CHID-077,CID-013,PID-033,SMS,2025-11-12,Request clarification on a recent claim status.
CHID-078,CID-013,PID-033,Phone Call,2025-11-12,Inquired about potential premium increases for the upcoming renewal.
CHID-079,CID-014,PID-034,Email,2024-07-05,"Customer sought assistance for canceling their policy, asking about the process."
CHID-080,CID-015,PID-035,Phone Call,2024-01-11,"Customer sought assistance for canceling their policy, asking about the process."
CHID-081,CID-015,PID-035,SMS,2024-12-12,"Customer sought assistance for canceling their policy, asking about the process."
CHID-082,CID-015,PID-035,SMS,2024-04-09,Inquired about potential premium increases for the upcoming renewal.
CHID-083,CID-015,PID-035,Email,2024-09-24,Request clarification on a recent claim status.
CHID-084,CID-015,PID-036,Phone Call,2025-03-13,Customer called to ask specific questions regarding coverage limits.
CHID-085,CID-016,PID-037,Phone Call,2021-08-02,Customer complained about a previous claim's handling.
CHID-086,CID-016,PID-037,Email,2021-12-15,Customer complained about a previous claim's handling.
CHID-087,CID-016,PID-038,Email,2023-04-22,"Customer sought assistance for canceling their policy, asking about the process."
CHID-088,CID-016,PID-038,SMS,2023-04-21,Customer wanted to know about discounts available for bundling policies.
CHID-089,CID-016,PID-039,SMS,2021-01-30,The customer wanted to know about discounts for upcoming policy renewal.
CHID-090,CID-016,PID-039,Email,2021-06-14,Customer called to ask specific questions regarding coverage limits.
CHID-091,CID-016,PID-039,SMS,2021-05-22,The customer wanted to know about discounts for upcoming policy renewal.
CHID-092,CID-016,PID-039,Email,2021-04-01,Customer called to ask specific questions regarding coverage limits.
CHID-093,CID-016,PID-040,Email,2022-12-13,Customer called to ask specific questions regarding coverage limits.
CHID-094,CID-016,PID-040,Phone Call,2023-05-01,Request clarification on a recent claim status.
CHID-095,CID-016,PID-040,SMS,2023-06-27,Customer wanted to know about discounts available for bundling policies.
CHID-096,CID-017,PID-041,Phone Call,2023-05-06,Customer called to inquire about their most recent bill and payment due dates.
CHID-097,CID-017,PID-041,Phone Call,2023-04-23,Customer called to ask specific questions regarding coverage limits.
CHID-098,CID-017,PID-041,SMS,2023-03-20,Request clarification on a recent claim status.
CHID-099,CID-017,PID-041,Email,2023-01-10,The customer wanted to know about discounts for upcoming policy renewal.
CHID-100,CID-017,PID-042,SMS,2021-03-01,Customer called to ask specific questions regarding coverage limits.
CHID-101,CID-018,PID-043,SMS,2025-03-21,Request for documents related to the policy was made.
CHID-102,CID-018,PID-043,Email,2024-06-17,"Customer sought assistance for canceling their policy, asking about the process."
CHID-103,CID-018,PID-043,SMS,2024-12-03,Customer called to inquire about their most recent bill and payment due dates.
CHID-104,CID-018,PID-043,SMS,2025-04-08,Request clarification on a recent claim status.
CHID-105,CID-018,PID-044,Email,2023-02-16,Customer called to inquire about their most recent bill and payment due dates.
CHID-106,CID-018,PID-044,Phone Call,2023-06-15,"Customer sought assistance for canceling their policy, asking about the process."
CHID-107,CID-018,PID-044,Phone Call,2023-06-11,Customer wanted to know about discounts available for bundling policies.
CHID-108,CID-018,PID-045,Phone Call,2023-08-30,Customer wanted to know about discounts available for bundling policies.
CHID-109,CID-018,PID-045,Phone Call,2023-01-11,The customer wanted to know about discounts for upcoming policy renewal.
CHID-110,CID-018,PID-046,Email,2025-11-12,"Customer sought assistance for canceling their policy, asking about the process."
CHID-111,CID-018,PID-046,Email,2025-11-12,Customer called to update their policy information and address changes.
CHID-112,CID-019,PID-047,Phone Call,2025-06-30,Customer called to update their policy information and address changes.
CHID-113,CID-019,PID-047,Email,2025-06-03,"Customer sought assistance for canceling their policy, asking about the process."
CHID-114,CID-019,PID-047,Phone Call,2025-09-17,Customer called to update their policy information and address changes.
CHID-115,CID-019,PID-048,Email,2021-05-21,"Customer sought assistance for canceling their policy, asking about the process."
CHID-116,CID-019,PID-048,Phone Call,2021-01-10,Customer called to inquire about their most recent bill and payment due dates.
CHID-117,CID-019,PID-049,Phone Call,2025-06-05,"Customer sought assistance for canceling their policy, asking about the process."
CHID-118,CID-019,PID-049,SMS,2025-06-02,Customer called to ask specific questions regarding coverage limits.
CHID-119,CID-019,PID-049,Phone Call,2024-12-13,Customer called to inquire about their most recent bill and payment due dates.
CHID-120,CID-020,PID-050,SMS,2024-04-25,Customer complained about a previous claim's handling.
CHID-121,CID-020,PID-050,Email,2024-11-09,"Customer sought assistance for canceling their policy, asking about the process."
CHID-122,CID-020,PID-050,Phone Call,2024-05-08,Request clarification on a recent claim status.
CHID-123,CID-020,PID-050,Phone Call,2024-11-07,Customer complained about a previous claim's handling.
CHID-124,CID-020,PID-051,Email,2024-03-14,Customer complained about a previous claim's handling.
CHID-125,CID-020,PID-051,SMS,2024-10-05,Customer wanted to know about discounts available for bundling policies.
CHID-126,CID-020,PID-051,Email,2024-02-01,The customer wanted to know about discounts for upcoming policy renewal.
CHID-127,CID-020,PID-051,Email,2024-02-10,Customer wanted to know about discounts available for bundling policies.
CHID-128,CID-020,PID-052,Phone Call,2021-07-16,The customer wanted to know about discounts for upcoming policy renewal.
CHID-129,CID-020,PID-052,Email,2021-06-02,Inquired about potential premium increases for the upcoming renewal.
CHID-130,CID-020,PID-052,Phone Call,2020-11-09,The customer wanted to know about discounts for upcoming policy renewal.
CHID-131,CID-020,PID-052,SMS,2021-07-22,The customer wanted to know about discounts for upcoming policy renewal.
CHID-132,CID-020,PID-053,Phone Call,2021-09-15,Customer called to update their policy information and address changes.
CHID-133,CID-020,PID-053,Email,2022-04-29,Request clarification on a recent claim status.
CHID-134,CID-020,PID-053,Email,2022-01-10,Inquired about potential premium increases for the upcoming renewal.
CHID-135,CID-020,PID-053,Email,2022-04-28,The customer wanted to know about discounts for upcoming policy renewal.
CHID-136,CID-021,PID-054,SMS,2020-10-08,Customer called to inquire about their most recent bill and payment due dates.
CHID-137,CID-021,PID-054,Email,2021-04-18,Customer complained about a previous claim's handling.
CHID-138,CID-022,PID-055,Phone Call,2024-12-22,Inquired about potential premium increases for the upcoming renewal.
CHID-139,CID-022,PID-055,Phone Call,2024-11-15,Customer called to ask specific questions regarding coverage limits.
CHID-140,CID-022,PID-056,Email,2021-02-24,Customer called to ask specific questions regarding coverage limits.
CHID-141,CID-023,PID-057,SMS,2025-06-08,Inquired about potential premium increases for the upcoming renewal.
CHID-142,CID-023,PID-057,Email,2025-06-01,Request clarification on a recent claim status.
CHID-143,CID-023,PID-058,Phone Call,2022-07-18,Customer called to inquire about their most recent bill and payment due dates.
CHID-144,CID-023,PID-058,SMS,2022-08-03,Inquired about potential premium increases for the upcoming renewal.
CHID-145,CID-023,PID-058,Email,2022-10-03,Customer called to update their policy information and address changes.
CHID-146,CID-023,PID-058,SMS,2022-02-17,Request for documents related to the policy was made.
CHID-147,CID-023,PID-059,SMS,2021-04-15,The customer wanted to know about discounts for upcoming policy renewal.
CHID-148,CID-024,PID-060,SMS,2023-01-26,Inquired about potential premium increases for the upcoming renewal.
CHID-149,CID-024,PID-061,SMS,2023-02-01,Request clarification on a recent claim status.
CHID-150,CID-024,PID-061,Email,2022-12-11,Customer called to inquire about their most recent bill and payment due dates.
CHID-151,CID-024,PID-062,Phone Call,2020-09-01,Customer wanted to know about discounts available for bundling policies.
CHID-152,CID-024,PID-062,Phone Call,2020-04-11,Request for documents related to the policy was made.
CHID-153,CID-024,PID-062,SMS,2020-11-28,Customer complained about a previous claim's handling.
CHID-154,CID-025,PID-063,Phone Call,2022-01-13,"Customer sought assistance for canceling their policy, asking about the process."
CHID-155,CID-025,PID-063,SMS,2022-08-05,The customer wanted to know about discounts for upcoming policy renewal.
CHID-156,CID-025,PID-063,Email,2022-04-14,Inquired about potential premium increases for the upcoming renewal.
CHID-157,CID-025,PID-064,SMS,2021-05-21,Customer called to ask specific questions regarding coverage limits.
CHID-158,CID-025,PID-064,SMS,2020-10-04,Customer called to update their policy information and address changes.
CHID-159,CID-025,PID-064,SMS,2021-04-01,Customer called to inquire about their most recent bill and payment due dates.
CHID-160,CID-025,PID-065,SMS,2024-09-24,Customer called to ask specific questions regarding coverage limits.
CHID-161,CID-025,PID-065,Phone Call,2024-12-11,"Customer sought assistance for canceling their policy, asking about the process."
CHID-162,CID-025,PID-065,SMS,2024-05-17,Inquired about potential premium increases for the upcoming renewal.
CHID-163,CID-025,PID-066,SMS,2020-12-20,Customer complained about a previous claim's handling.
CHID-164,CID-025,PID-066,SMS,2020-06-25,Request clarification on a recent claim status.
CHID-165,CID-025,PID-066,SMS,2020-12-27,Customer called to update their policy information and address changes.
CHID-166,CID-025,PID-066,Email,2020-10-22,Customer called to ask specific questions regarding coverage limits.
CHID-167,CID-026,PID-067,SMS,2021-02-02,"Customer sought assistance for canceling their policy, asking about the process."
CHID-168,CID-027,PID-068,SMS,2021-12-11,Customer called to update their policy information and address changes.
CHID-169,CID-028,PID-069,SMS,2022-09-25,"Customer sought assistance for canceling their policy, asking about the process."
CHID-170,CID-028,PID-069,Phone Call,2022-09-03,Request for documents related to the policy was made.
CHID-171,CID-028,PID-069,Email,2022-08-28,Inquired about potential premium increases for the upcoming renewal.
CHID-172,CID-028,PID-069,SMS,2023-03-17,The customer wanted to know about discounts for upcoming policy renewal.
CHID-173,CID-028,PID-070,Phone Call,2024-08-23,Customer wanted to know about discounts available for bundling policies.
CHID-174,CID-028,PID-071,Email,2025-05-06,"Customer sought assistance for canceling their policy, asking about the process."
CHID-175,CID-028,PID-071,SMS,2025-05-14,Customer wanted to know about discounts available for bundling policies.
CHID-176,CID-029,PID-072,SMS,2025-11-12,Inquired about potential premium increases for the upcoming renewal.
CHID-177,CID-029,PID-072,Email,2025-11-12,Customer called to ask specific questions regarding coverage limits.
CHID-178,CID-029,PID-073,Email,2023-01-21,Customer wanted to know about discounts available for bundling policies.
CHID-179,CID-029,PID-073,SMS,2023-06-08,Customer called to ask specific questions regarding coverage limits.
CHID-180,CID-029,PID-073,Email,2023-09-27,Customer wanted to know about discounts available for bundling policies.
CHID-181,CID-029,PID-073,Email,2023-05-02,Customer complained about a previous claim's handling.
CHID-182,CID-029,PID-074,SMS,2023-08-06,Customer called to ask specific questions regarding coverage limits.
CHID-183,CID-030,PID-075,Email,2021-11-20,Customer wanted to know about discounts available for bundling policies.
CHID-184,CID-030,PID-075,Phone Call,2022-06-03,Inquired about potential premium increases for the upcoming renewal.
CHID-185,CID-030,PID-075,Email,2022-05-07,"Customer sought assistance for canceling their policy, asking about the process."
CHID-186,CID-030,PID-076,Email,2022-01-05,Request clarification on a recent claim status.
CHID-187,CID-030,PID-076,SMS,2022-04-03,"Customer sought assistance for canceling their policy, asking about the process."
CHID-188,CID-030,PID-076,SMS,2021-10-12,Customer complained about a previous claim's handling.
CHID-189,CID-030,PID-076,SMS,2022-04-06,The customer wanted to know about discounts for upcoming policy renewal.
CHID-190,CID-030,PID-077,Email,2025-04-21,Customer called to update their policy information and address changes.
CHID-191,CID-030,PID-077,Phone Call,2025-03-25,Inquired about potential premium increases for the upcoming renewal.
CHID-192,CID-030,PID-077,Email,2025-06-01,Customer called to update their policy information and address changes.
CHID-193,CID-030,PID-078,SMS,2022-01-14,Request for documents related to the policy was made.
CHID-194,CID-030,PID-078,Email,2021-11-11,Inquired about potential premium increases for the upcoming renewal.
CHID-195,CID-030,PID-078,Phone Call,2022-01-09,Request for documents related to the policy was made.
CHID-196,CID-031,PID-079,Email,2025-11-12,Customer wanted to know about discounts available for bundling policies.
CHID-197,CID-031,PID-079,Email,2025-11-12,Inquired about potential premium increases for the upcoming renewal.
CHID-198,CID-031,PID-079,Email,2025-11-12,Customer complained about a previous claim's handling.
CHID-199,CID-031,PID-079,SMS,2025-11-12,Customer complained about a previous claim's handling.
CHID-200,CID-031,PID-080,Phone Call,2024-01-31,Request for documents related to the policy was made.
CHID-201,CID-031,PID-080,SMS,2024-01-25,Customer called to inquire about their most recent bill and payment due dates.
CHID-202,CID-031,PID-080,Email,2024-11-07,Customer complained about a previous claim's handling.
CHID-203,CID-031,PID-080,Email,2024-02-12,Customer complained about a previous claim's handling.
CHID-204,CID-031,PID-081,SMS,2025-04-21,Request for documents related to the policy was made.
CHID-205,CID-031,PID-082,Phone Call,2024-05-25,Customer called to inquire about their most recent bill and payment due dates.
CHID-206,CID-031,PID-082,SMS,2024-04-29,Customer called to inquire about their most recent bill and payment due dates.
CHID-207,CID-031,PID-082,Email,2024-09-23,Customer called to inquire about their most recent bill and payment due dates.
CHID-208,CID-032,PID-083,Email,2021-07-20,Request clarification on a recent claim status.
CHID-209,CID-032,PID-083,Email,2021-06-06,Request for documents related to the policy was made.
CHID-210,CID-032,PID-083,SMS,2021-10-16,Request clarification on a recent claim status.
CHID-211,CID-032,PID-083,Phone Call,2021-12-19,Customer called to update their policy information and address changes.
CHID-212,CID-032,PID-084,Email,2022-09-16,Inquired about potential premium increases for the upcoming renewal.
CHID-213,CID-032,PID-084,Phone Call,2022-12-22,"Customer sought assistance for canceling their policy, asking about the process."
CHID-214,CID-032,PID-084,Email,2022-09-20,"Customer sought assistance for canceling their policy, asking about the process."
CHID-215,CID-033,PID-085,Email,2023-12-07,Customer complained about a previous claim's handling.
CHID-216,CID-033,PID-085,Phone Call,2024-03-26,Customer complained about a previous claim's handling.
CHID-217,CID-033,PID-085,SMS,2023-07-26,Customer wanted to know about discounts available for bundling policies.
CHID-218,CID-033,PID-085,Phone Call,2023-10-02,Customer called to inquire about their most recent bill and payment due dates.
CHID-219,CID-033,PID-086,SMS,2024-06-19,Customer called to inquire about their most recent bill and payment due dates.
CHID-220,CID-033,PID-086,SMS,2024-10-21,"Customer sought assistance for canceling their policy, asking about the process."
CHID-221,CID-033,PID-086,Email,2024-05-19,Customer called to update their policy information and address changes.
CHID-222,CID-033,PID-086,SMS,2024-08-24,Customer called to update their policy information and address changes.
CHID-223,CID-034,PID-087,Email,2024-07-30,"Customer sought assistance for canceling their policy, asking about the process."
CHID-224,CID-034,PID-088,Phone Call,2025-11-12,Inquired about potential premium increases for the upcoming renewal.
CHID-225,CID-034,PID-088,Phone Call,2025-11-12,The customer wanted to know about discounts for upcoming policy renewal.
CHID-226,CID-034,PID-088,SMS,2025-11-12,Customer wanted to know about discounts available for bundling policies.
CHID-227,CID-034,PID-089,Phone Call,2021-04-09,"Customer sought assistance for canceling their policy, asking about the process."
CHID-228,CID-034,PID-089,SMS,2021-02-18,Customer wanted to know about discounts available for bundling policies.
CHID-229,CID-034,PID-090,SMS,2025-10-24,Customer called to update their policy information and address changes.
CHID-230,CID-034,PID-090,Phone Call,2025-11-12,Customer called to inquire about their most recent bill and payment due dates.
CHID-231,CID-034,PID-090,SMS,2025-11-12,Request for documents related to the policy was made.
CHID-232,CID-034,PID-090,Phone Call,2025-10-28,Customer wanted to know about discounts available for bundling policies.
CHID-233,CID-035,PID-091,SMS,2025-11-12,Customer called to ask specific questions regarding coverage limits.
CHID-234,CID-035,PID-091,Email,2025-09-05,Customer called to inquire about their most recent bill and payment due dates.
CHID-235,CID-035,PID-091,SMS,2025-11-12,The customer wanted to know about discounts for upcoming policy renewal.
CHID-236,CID-035,PID-091,Phone Call,2025-10-24,Request clarification on a recent claim status.
CHID-237,CID-035,PID-092,Phone Call,2024-08-21,Inquired about potential premium increases for the upcoming renewal.
CHID-238,CID-035,PID-092,Email,2024-08-12,Customer called to ask specific questions regarding coverage limits.
CHID-239,CID-035,PID-092,Email,2025-01-14,Inquired about potential premium increases for the upcoming renewal.
CHID-240,CID-035,PID-092,Email,2024-04-12,Request for documents related to the policy was made.
CHID-241,CID-036,PID-093,Phone Call,2020-07-16,Customer complained about a previous claim's handling.
CHID-242,CID-036,PID-093,SMS,2020-11-23,Inquired about potential premium increases for the upcoming renewal.
CHID-243,CID-036,PID-093,Phone Call,2021-04-09,"Customer sought assistance for canceling their policy, asking about the process."
CHID-244,CID-036,PID-093,SMS,2020-08-29,Customer called to ask specific questions regarding coverage limits.
CHID-245,CID-036,PID-094,Email,2023-10-21,Customer called to inquire about their most recent bill and payment due dates.
CHID-246,CID-036,PID-094,SMS,2024-01-15,The customer wanted to know about discounts for upcoming policy renewal.
CHID-247,CID-036,PID-095,SMS,2023-11-17,"Customer sought assistance for canceling their policy, asking about the process."
CHID-248,CID-036,PID-096,SMS,2025-02-09,Customer called to inquire about their most recent bill and payment due dates.
CHID-249,CID-036,PID-096,Email,2024-08-21,Customer called to update their policy information and address changes.
CHID-250,CID-036,PID-096,Email,2024-09-24,Customer called to ask specific questions regarding coverage limits.
CHID-251,CID-036,PID-096,SMS,2024-02-29,"Customer sought assistance for canceling their policy, asking about the process."
CHID-252,CID-037,PID-097,Phone Call,2025-11-12,The customer wanted to know about discounts for upcoming policy renewal.
CHID-253,CID-037,PID-097,Phone Call,2025-11-12,Inquired about potential premium increases for the upcoming renewal.
CHID-254,CID-037,PID-097,Phone Call,2025-11-12,Customer wanted to know about discounts available for bundling policies.
CHID-255,CID-037,PID-097,Email,2025-11-12,Request clarification on a recent claim status.
CHID-256,CID-037,PID-098,SMS,2025-11-12,Request clarification on a recent claim status.
CHID-257,CID-037,PID-099,Email,2021-08-07,Customer called to inquire about their most recent bill and payment due dates.
CHID-258,CID-037,PID-099,Email,2021-01-12,Customer complained about a previous claim's handling.
CHID-259,CID-038,PID-100,SMS,2020-03-19,Customer called to inquire about their most recent bill and payment due dates.
CHID-260,CID-038,PID-100,SMS,2020-08-30,Request for documents related to the policy was made.
CHID-261,CID-038,PID-100,Email,2020-04-15,Request for documents related to the policy was made.
CHID-262,CID-038,PID-101,Email,2025-11-12,The customer wanted to know about discounts for upcoming policy renewal.
CHID-263,CID-039,PID-102,Phone Call,2025-01-07,Customer wanted to know about discounts available for bundling policies.
CHID-264,CID-039,PID-103,Phone Call,2021-06-28,Request for documents related to the policy was made.
CHID-265,CID-039,PID-104,Phone Call,2023-12-18,Customer wanted to know about discounts available for bundling policies.
CHID-266,CID-039,PID-104,SMS,2024-02-11,"Customer sought assistance for canceling their policy, asking about the process."
CHID-267,CID-039,PID-104,SMS,2023-10-01,Customer wanted to know about discounts available for bundling policies.
CHID-268,CID-039,PID-104,Email,2024-08-15,Customer called to update their policy information and address changes.
CHID-269,CID-039,PID-105,SMS,2023-04-18,Customer complained about a previous claim's handling.
CHID-270,CID-040,PID-106,Email,2025-03-03,Request for documents related to the policy was made.
CHID-271,CID-041,PID-107,Email,2024-04-20,Customer called to inquire about their most recent bill and payment due dates.
CHID-272,CID-041,PID-107,Phone Call,2024-03-08,Inquired about potential premium increases for the upcoming renewal.
CHID-273,CID-041,PID-107,SMS,2024-01-11,Request clarification on a recent claim status.
CHID-274,CID-042,PID-108,Phone Call,2023-03-14,Request for documents related to the policy was made.
CHID-275,CID-042,PID-108,Phone Call,2022-05-08,Customer called to update their policy information and address changes.
CHID-276,CID-042,PID-108,Phone Call,2022-04-18,Customer called to ask specific questions regarding coverage limits.
CHID-277,CID-042,PID-108,SMS,2022-09-13,Inquired about potential premium increases for the upcoming renewal.
CHID-278,CID-042,PID-109,Phone Call,2025-02-04,Customer called to inquire about their most recent bill and payment due dates.
CHID-279,CID-042,PID-109,SMS,2025-09-04,"Customer sought assistance for canceling their policy, asking about the process."
CHID-280,CID-042,PID-110,Phone Call,2020-05-03,Request for documents related to the policy was made.
CHID-281,CID-042,PID-110,SMS,2020-11-14,Customer called to update their policy information and address changes.
CHID-282,CID-042,PID-110,Phone Call,2020-09-23,Customer complained about a previous claim's handling.
CHID-283,CID-043,PID-111,SMS,2024-08-01,Customer called to update their policy information and address changes.
CHID-284,CID-043,PID-111,SMS,2024-06-14,Customer wanted to know about discounts available for bundling policies.
CHID-285,CID-043,PID-112,Email,2022-03-05,Customer complained about a previous claim's handling.
CHID-286,CID-043,PID-112,Phone Call,2022-04-23,The customer wanted to know about discounts for upcoming policy renewal.
CHID-287,CID-043,PID-112,Phone Call,2022-04-08,The customer wanted to know about discounts for upcoming policy renewal.
CHID-288,CID-044,PID-113,Phone Call,2021-09-25,Inquired about potential premium increases for the upcoming renewal.
CHID-289,CID-044,PID-113,SMS,2022-02-21,Customer called to update their policy information and address changes.
CHID-290,CID-044,PID-113,Phone Call,2022-05-04,Request clarification on a recent claim status.
CHID-291,CID-044,PID-113,Phone Call,2022-04-26,Request clarification on a recent claim status.
CHID-292,CID-044,PID-114,SMS,2023-07-12,The customer wanted to know about discounts for upcoming policy renewal.
CHID-293,CID-044,PID-114,Phone Call,2023-09-27,"Customer sought assistance for canceling their policy, asking about the process."
CHID-294,CID-044,PID-114,Email,2023-04-01,Customer wanted to know about discounts available for bundling policies.
CHID-295,CID-044,PID-115,Phone Call,2021-06-06,Request clarification on a recent claim status.
CHID-296,CID-044,PID-115,SMS,2020-07-08,The customer wanted to know about discounts for upcoming policy renewal.
